kota,kecamatan,kelurahan,luas_daerah,kepadatan,jumlah_penduduk,panjang_jalan,tahun,macet
JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,2.1,14559.33,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PESANGGRAHAN,BINTARO,4.56,12627.88,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,2.99,19656.13,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2.1,19024.23,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,1.71,26729.62,2226812.0,2000.0,2020,0
JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,0.68,55145.1,3037139.0,1518.0,2020,0
JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,1.07,30724.39,3037139.0,1518.0,2020,0
JAKARTA TIMUR,MATRAMAN,KAYU MANIS,0.58,52383.68,3037139.0,1518.0,2020,0
JAKARTA TIMUR,MATRAMAN,PAL MERIAM,0.65,36029.97,3037139.0,1518.0,2020,0
JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,0.78,25216.72,3037139.0,1518.0,2020,0
JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,1.12,34822.67,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,1.92,20127.93,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,1.79,26956.09,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,CIPINANG,1.53,30303.27,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,1.23,22397.73,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,2.6,16841.6,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,4.37,10735.22,3037139.0,1518.0,2020,0
